Time (ms),Device,Android Version,AP MAC Address,Status,Distance (mm),Std Dev (mm),Attempted Measurements,Successful Measurements,Real Distance (mm)
70174,XiaomiM2007J3SG,12,bc:df:58:b8:ef:6f,0,2968,469,8,7,1000
70684,XiaomiM2007J3SG,12,bc:df:58:b8:ef:6f,0,3020,566,8,7,1000
71193,XiaomiM2007J3SG,12,bc:df:58:b8:ef:6f,0,3068,541,8,7,1000
71709,XiaomiM2007J3SG,12,bc:df:58:b8:ef:6f,0,2981,594,8,7,1000
72215,XiaomiM2007J3SG,12,bc:df:58:b8:ef:6f,0,2995,479,8,7,1000
72723,XiaomiM2007J3SG,12,bc:df:58:b8:ef:6f,0,3215,640,8,7,1000
73231,XiaomiM2007J3SG,12,bc:df:58:b8:ef:6f,0,3046,544,8,7,1000
73746,XiaomiM2007J3SG,12,bc:df:58:b8:ef:6f,0,2849,555,8,7,1000
74253,XiaomiM2007J3SG,12,bc:df:58:b8:ef:6f,0,3098,532,8,7,1000
74763,XiaomiM2007J3SG,12,bc:df:58:b8:ef:6f,0,3200,654,8,7,1000
75273,XiaomiM2007J3SG,12,bc:df:58:b8:ef:6f,0,3298,557,8,7,1000
75788,XiaomiM2007J3SG,12,bc:df:58:b8:ef:6f,0,2915,535,8,7,1000
76297,XiaomiM2007J3SG,12,bc:df:58:b8:ef:6f,0,3091,603,8,7,1000
76804,XiaomiM2007J3SG,12,bc:df:58:b8:ef:6f,0,2917,549,8,7,1000
77312,XiaomiM2007J3SG,12,bc:df:58:b8:ef:6f,0,2944,513,8,7,1000
77823,XiaomiM2007J3SG,12,bc:df:58:b8:ef:6f,0,3098,500,8,7,1000
78330,XiaomiM2007J3SG,12,bc:df:58:b8:ef:6f,0,2900,573,8,7,1000
78842,XiaomiM2007J3SG,12,bc:df:58:b8:ef:6f,0,3239,696,8,7,1000
79351,XiaomiM2007J3SG,12,bc:df:58:b8:ef:6f,0,3217,694,8,7,1000
79859,XiaomiM2007J3SG,12,bc:df:58:b8:ef:6f,0,2973,649,8,7,1000
80370,XiaomiM2007J3SG,12,bc:df:58:b8:ef:6f,0,3222,718,8,7,1000
80887,XiaomiM2007J3SG,12,bc:df:58:b8:ef:6f,0,3357,685,8,7,1000
81392,XiaomiM2007J3SG,12,bc:df:58:b8:ef:6f,0,3208,692,8,7,1000
81906,XiaomiM2007J3SG,12,bc:df:58:b8:ef:6f,0,2905,473,8,7,1000
82418,XiaomiM2007J3SG,12,bc:df:58:b8:ef:6f,0,3095,687,8,7,1000
82933,XiaomiM2007J3SG,12,bc:df:58:b8:ef:6f,0,3322,689,8,7,1000
83443,XiaomiM2007J3SG,12,bc:df:58:b8:ef:6f,0,3198,665,8,7,1000
83943,XiaomiM2007J3SG,12,bc:df:58:b8:ef:6f,0,2849,549,8,7,1000
84458,XiaomiM2007J3SG,12,bc:df:58:b8:ef:6f,0,3137,668,8,7,1000
84956,XiaomiM2007J3SG,12,bc:df:58:b8:ef:6f,0,2856,536,8,7,1000
85465,XiaomiM2007J3SG,12,bc:df:58:b8:ef:6f,0,3266,769,8,7,1000
85974,XiaomiM2007J3SG,12,bc:df:58:b8:ef:6f,0,3276,573,8,7,1000
86485,XiaomiM2007J3SG,12,bc:df:58:b8:ef:6f,0,3291,683,8,7,1000
86998,XiaomiM2007J3SG,12,bc:df:58:b8:ef:6f,0,2917,517,8,7,1000
87511,XiaomiM2007J3SG,12,bc:df:58:b8:ef:6f,0,2878,500,8,7,1000
88015,XiaomiM2007J3SG,12,bc:df:58:b8:ef:6f,0,3230,639,8,7,1000
88529,XiaomiM2007J3SG,12,bc:df:58:b8:ef:6f,0,3130,380,8,3,1000
89027,XiaomiM2007J3SG,12,bc:df:58:b8:ef:6f,0,3208,720,8,7,1000
89535,XiaomiM2007J3SG,12,bc:df:58:b8:ef:6f,0,3195,588,8,7,1000
90050,XiaomiM2007J3SG,12,bc:df:58:b8:ef:6f,0,2885,539,8,7,1000
90564,XiaomiM2007J3SG,12,bc:df:58:b8:ef:6f,0,3122,627,8,7,1000
91064,XiaomiM2007J3SG,12,bc:df:58:b8:ef:6f,0,3027,616,8,7,1000
91578,XiaomiM2007J3SG,12,bc:df:58:b8:ef:6f,0,3137,563,8,7,1000
92091,XiaomiM2007J3SG,12,bc:df:58:b8:ef:6f,0,3283,728,8,7,1000
92600,XiaomiM2007J3SG,12,bc:df:58:b8:ef:6f,0,3247,647,8,7,1000
93111,XiaomiM2007J3SG,12,bc:df:58:b8:ef:6f,0,3149,638,8,7,1000
93628,XiaomiM2007J3SG,12,bc:df:58:b8:ef:6f,0,3149,469,8,7,1000
94130,XiaomiM2007J3SG,12,bc:df:58:b8:ef:6f,0,3203,643,8,7,1000
94639,XiaomiM2007J3SG,12,bc:df:58:b8:ef:6f,0,3115,686,8,7,1000
95149,XiaomiM2007J3SG,12,bc:df:58:b8:ef:6f,0,2790,573,8,7,1000
95659,XiaomiM2007J3SG,12,bc:df:58:b8:ef:6f,0,3093,615,8,7,1000
96172,XiaomiM2007J3SG,12,bc:df:58:b8:ef:6f,0,2944,642,8,7,1000
96677,XiaomiM2007J3SG,12,bc:df:58:b8:ef:6f,0,3303,574,8,7,1000
97190,XiaomiM2007J3SG,12,bc:df:58:b8:ef:6f,0,3134,594,8,7,1000
97701,XiaomiM2007J3SG,12,bc:df:58:b8:ef:6f,0,3369,677,8,7,1000
98210,XiaomiM2007J3SG,12,bc:df:58:b8:ef:6f,0,3149,528,8,7,1000
98722,XiaomiM2007J3SG,12,bc:df:58:b8:ef:6f,0,3361,608,8,7,1000
99226,XiaomiM2007J3SG,12,bc:df:58:b8:ef:6f,0,3305,655,8,7,1000
99741,XiaomiM2007J3SG,12,bc:df:58:b8:ef:6f,0,3025,584,8,7,1000
100244,XiaomiM2007J3SG,12,bc:df:58:b8:ef:6f,0,2946,574,8,7,1000
100753,XiaomiM2007J3SG,12,bc:df:58:b8:ef:6f,0,3085,601,8,7,1000
101264,XiaomiM2007J3SG,12,bc:df:58:b8:ef:6f,0,4116,456,8,7,1000
101781,XiaomiM2007J3SG,12,bc:df:58:b8:ef:6f,0,2995,519,8,7,1000
102288,XiaomiM2007J3SG,12,bc:df:58:b8:ef:6f,0,2937,545,8,7,1000
102799,XiaomiM2007J3SG,12,bc:df:58:b8:ef:6f,0,2978,577,8,7,1000
103307,XiaomiM2007J3SG,12,bc:df:58:b8:ef:6f,0,3037,499,8,7,1000
103820,XiaomiM2007J3SG,12,bc:df:58:b8:ef:6f,0,3124,694,8,7,1000
104319,XiaomiM2007J3SG,12,bc:df:58:b8:ef:6f,0,3149,657,8,7,1000
104830,XiaomiM2007J3SG,12,bc:df:58:b8:ef:6f,0,3244,730,8,7,1000
105338,XiaomiM2007J3SG,12,bc:df:58:b8:ef:6f,0,3188,603,8,7,1000
105851,XiaomiM2007J3SG,12,bc:df:58:b8:ef:6f,0,3298,641,8,7,1000
106352,XiaomiM2007J3SG,12,bc:df:58:b8:ef:6f,0,3166,603,8,7,1000
106861,XiaomiM2007J3SG,12,bc:df:58:b8:ef:6f,0,3178,616,8,7,1000
107372,XiaomiM2007J3SG,12,bc:df:58:b8:ef:6f,0,3156,563,8,7,1000
107883,XiaomiM2007J3SG,12,bc:df:58:b8:ef:6f,0,2917,511,8,7,1000
108400,XiaomiM2007J3SG,12,bc:df:58:b8:ef:6f,0,2968,578,8,7,1000
108910,XiaomiM2007J3SG,12,bc:df:58:b8:ef:6f,0,3017,625,8,7,1000
109419,XiaomiM2007J3SG,12,bc:df:58:b8:ef:6f,0,3186,691,8,7,1000
109933,XiaomiM2007J3SG,12,bc:df:58:b8:ef:6f,0,2922,672,8,7,1000
110442,XiaomiM2007J3SG,12,bc:df:58:b8:ef:6f,0,3081,519,8,7,1000
110955,XiaomiM2007J3SG,12,bc:df:58:b8:ef:6f,0,3452,580,8,7,1000
111463,XiaomiM2007J3SG,12,bc:df:58:b8:ef:6f,0,3149,579,8,7,1000
111972,XiaomiM2007J3SG,12,bc:df:58:b8:ef:6f,0,3393,623,8,7,1000
112474,XiaomiM2007J3SG,12,bc:df:58:b8:ef:6f,0,2973,506,8,7,1000
112984,XiaomiM2007J3SG,12,bc:df:58:b8:ef:6f,0,3254,622,8,7,1000
113492,XiaomiM2007J3SG,12,bc:df:58:b8:ef:6f,0,3332,684,8,7,1000
114003,XiaomiM2007J3SG,12,bc:df:58:b8:ef:6f,0,3149,689,8,7,1000
114512,XiaomiM2007J3SG,12,bc:df:58:b8:ef:6f,0,2998,667,8,7,1000
115027,XiaomiM2007J3SG,12,bc:df:58:b8:ef:6f,0,3086,590,8,7,1000
115533,XiaomiM2007J3SG,12,bc:df:58:b8:ef:6f,0,3232,620,8,7,1000
116043,XiaomiM2007J3SG,12,bc:df:58:b8:ef:6f,0,3049,624,8,7,1000
116556,XiaomiM2007J3SG,12,bc:df:58:b8:ef:6f,0,2871,475,8,7,1000
