Time (ms),Device,Android Version,AP MAC Address,Status,Distance (mm),Std Dev (mm),Attempted Measurements,Successful Measurements,Real Distance (mm),Orientation
12113,XiaomiPOCO F2 Pro,12,90:ca:fa:8b:13:b4,0,2444,643,8,7,500,1
12270,XiaomiPOCO F2 Pro,12,90:ca:fa:8b:13:b4,0,2485,299,8,7,500,1
12424,XiaomiPOCO F2 Pro,12,90:ca:fa:8b:13:b4,0,2075,263,8,7,500,1
12576,XiaomiPOCO F2 Pro,12,90:ca:fa:8b:13:b4,0,1714,498,8,7,500,1
12693,XiaomiPOCO F2 Pro,12,90:ca:fa:8b:13:b4,0,1636,69,8,7,500,1
12849,XiaomiPOCO F2 Pro,12,90:ca:fa:8b:13:b4,0,2312,436,8,7,500,1
12999,XiaomiPOCO F2 Pro,12,90:ca:fa:8b:13:b4,0,2275,548,8,7,500,1
13155,XiaomiPOCO F2 Pro,12,90:ca:fa:8b:13:b4,0,1704,111,8,7,500,1
13307,XiaomiPOCO F2 Pro,12,90:ca:fa:8b:13:b4,0,2612,506,8,7,500,1
13460,XiaomiPOCO F2 Pro,12,90:ca:fa:8b:13:b4,0,2121,497,8,7,500,1
13615,XiaomiPOCO F2 Pro,12,90:ca:fa:8b:13:b4,0,1958,108,8,7,500,1
13763,XiaomiPOCO F2 Pro,12,90:ca:fa:8b:13:b4,0,1850,64,8,7,500,1
13926,XiaomiPOCO F2 Pro,12,90:ca:fa:8b:13:b4,0,2573,702,8,5,500,1
13983,XiaomiPOCO F2 Pro,12,90:ca:fa:8b:13:b4,0,1831,83,8,7,500,1
14047,XiaomiPOCO F2 Pro,12,90:ca:fa:8b:13:b4,0,2026,728,8,7,500,1
14103,XiaomiPOCO F2 Pro,12,90:ca:fa:8b:13:b4,0,2246,104,8,7,500,1
14161,XiaomiPOCO F2 Pro,12,90:ca:fa:8b:13:b4,0,2104,90,8,7,500,1
14215,XiaomiPOCO F2 Pro,12,90:ca:fa:8b:13:b4,0,2661,187,8,7,500,1
14269,XiaomiPOCO F2 Pro,12,90:ca:fa:8b:13:b4,0,3308,1112,8,7,500,1
14321,XiaomiPOCO F2 Pro,12,90:ca:fa:8b:13:b4,0,1645,86,8,7,500,1
14377,XiaomiPOCO F2 Pro,12,90:ca:fa:8b:13:b4,0,1352,109,8,7,500,1
14440,XiaomiPOCO F2 Pro,12,90:ca:fa:8b:13:b4,0,2085,444,8,7,500,1
14499,XiaomiPOCO F2 Pro,12,90:ca:fa:8b:13:b4,0,1762,92,8,7,500,1
14561,XiaomiPOCO F2 Pro,12,90:ca:fa:8b:13:b4,0,2597,712,8,7,500,1
14621,XiaomiPOCO F2 Pro,12,90:ca:fa:8b:13:b4,0,1960,394,8,7,500,1
14687,XiaomiPOCO F2 Pro,12,90:ca:fa:8b:13:b4,0,1567,17,8,7,500,1
14764,XiaomiPOCO F2 Pro,12,90:ca:fa:8b:13:b4,0,2348,159,8,7,500,1
14894,XiaomiPOCO F2 Pro,12,90:ca:fa:8b:13:b4,0,1967,297,8,7,500,1
15014,XiaomiPOCO F2 Pro,12,90:ca:fa:8b:13:b4,0,2553,707,8,7,500,1
15149,XiaomiPOCO F2 Pro,12,90:ca:fa:8b:13:b4,0,2194,541,8,7,500,1
15255,XiaomiPOCO F2 Pro,12,90:ca:fa:8b:13:b4,0,1792,72,8,7,500,1
15374,XiaomiPOCO F2 Pro,12,90:ca:fa:8b:13:b4,0,2590,486,8,7,500,1
